19:40:46,3,"Broadmead, Union St",2,2020-02-16 19:42:46.141319
19:40:46,2,"Stockwood, The Coot",4,2020-02-16 19:44:46.141387
19:40:46,1,"Broomhill, Whitmore",12,2020-02-16 19:52:46.141515
19:40:46,U1,Queen's Avenue,26,2020-02-16 20:06:46.143746
19:40:46,4,"Broadmead, Union St",28,2020-02-16 20:08:46.143831
19:40:46,2,"Stockwood, The Coot",31,2020-02-16 20:11:46.143885
19:40:46,1,"Broomhill, Whitmore",42,2020-02-16 20:22:46.143930
19:40:46,U1,Queen's Avenue,56,2020-02-16 20:36:46.146261
19:40:46,2,"Stockwood, The Coot",60,2020-02-16 20:40:46.146383

19:41:08,U1,Queen's Avenue,0,2020-02-16 19:41:09.000431
19:41:08,3,"Broadmead, Union St",1,2020-02-16 19:42:09.000506
19:41:08,2,"Stockwood, The Coot",3,2020-02-16 19:44:09.000561
19:41:08,1,"Broomhill, Whitmore",11,2020-02-16 19:52:09.000613
19:41:08,U1,Queen's Avenue,25,2020-02-16 20:06:09.002729
19:41:08,4,"Broadmead, Union St",27,2020-02-16 20:08:09.002787
19:41:08,2,"Stockwood, The Coot",30,2020-02-16 20:11:09.002838
19:41:08,1,"Broomhill, Whitmore",41,2020-02-16 20:22:09.002887
19:41:08,U1,Queen's Avenue,55,2020-02-16 20:36:09.004817
19:41:08,2,"Stockwood, The Coot",59,2020-02-16 20:40:09.004862

19:41:45,U1,Queen's Avenue,0,2020-02-16 19:41:45.151168
19:41:45,3,"Broadmead, Union St",1,2020-02-16 19:42:45.151259
19:41:45,2,"Stockwood, The Coot",3,2020-02-16 19:44:45.151315
19:41:45,1,"Broomhill, Whitmore",11,2020-02-16 19:52:45.151365
19:41:45,U1,Queen's Avenue,25,2020-02-16 20:06:45.156991
19:41:45,4,"Broadmead, Union St",28,2020-02-16 20:09:45.157036
19:41:45,2,"Stockwood, The Coot",29,2020-02-16 20:10:45.157079
19:41:45,1,"Broomhill, Whitmore",41,2020-02-16 20:22:45.157120
19:41:45,U1,Queen's Avenue,55,2020-02-16 20:36:45.160082
19:41:45,2,"Stockwood, The Coot",59,2020-02-16 20:40:45.160122

19:42:21,U1,Queen's Avenue,0,2020-02-16 19:42:21.147769
19:42:21,3,"Broadmead, Union St",0,2020-02-16 19:42:21.147841
19:42:21,2,"Stockwood, The Coot",1,2020-02-16 19:43:21.147915
19:42:21,1,"Broomhill, Whitmore",11,2020-02-16 19:53:21.147959
19:42:21,U1,Queen's Avenue,24,2020-02-16 20:06:21.149722
19:42:21,4,"Broadmead, Union St",27,2020-02-16 20:09:21.149766
19:42:21,2,"Stockwood, The Coot",28,2020-02-16 20:10:21.149807
19:42:21,1,"Broomhill, Whitmore",40,2020-02-16 20:22:21.149846
19:42:21,U1,Queen's Avenue,54,2020-02-16 20:36:21.151704
19:42:21,2,"Stockwood, The Coot",58,2020-02-16 20:40:21.151750

19:42:29,U1,Queen's Avenue,0,2020-02-16 19:42:29.988956
19:42:29,3,"Broadmead, Union St",0,2020-02-16 19:42:29.989030
19:42:29,2,"Stockwood, The Coot",1,2020-02-16 19:43:29.989082
19:42:29,1,"Broomhill, Whitmore",11,2020-02-16 19:53:29.989134
19:42:29,U1,Queen's Avenue,24,2020-02-16 20:06:29.991320
19:42:29,4,"Broadmead, Union St",27,2020-02-16 20:09:29.991352
19:42:29,2,"Stockwood, The Coot",28,2020-02-16 20:10:29.991381
19:42:29,1,"Broomhill, Whitmore",40,2020-02-16 20:22:29.991409
19:42:29,U1,Queen's Avenue,54,2020-02-16 20:36:29.992912
19:42:29,2,"Stockwood, The Coot",58,2020-02-16 20:40:29.992945

19:42:47,U1,Queen's Avenue,0,2020-02-16 19:42:47.263270
19:42:47,3,"Broadmead, Union St",0,2020-02-16 19:42:47.263316
19:42:47,2,"Stockwood, The Coot",1,2020-02-16 19:43:47.263350
19:42:47,1,"Broomhill, Whitmore",10,2020-02-16 19:52:47.263379
19:42:47,U1,Queen's Avenue,24,2020-02-16 20:06:47.264615
19:42:47,4,"Broadmead, Union St",27,2020-02-16 20:09:47.264647
19:42:47,2,"Stockwood, The Coot",28,2020-02-16 20:10:47.264677
19:42:47,1,"Broomhill, Whitmore",40,2020-02-16 20:22:47.264705
19:42:47,U1,Queen's Avenue,54,2020-02-16 20:36:47.265966
19:42:47,2,"Stockwood, The Coot",58,2020-02-16 20:40:47.266001

19:43:10,U1,Queen's Avenue,0,2020-02-16 19:43:10.214027
19:43:10,3,"Broadmead, Union St",0,2020-02-16 19:43:10.214248
19:43:10,2,"Stockwood, The Coot",0,2020-02-16 19:43:10.214330
19:43:10,1,"Broomhill, Whitmore",9,2020-02-16 19:52:10.214401
19:43:10,U1,Queen's Avenue,23,2020-02-16 20:06:10.217244
19:43:10,4,"Broadmead, Union St",26,2020-02-16 20:09:10.217292
19:43:10,2,"Stockwood, The Coot",27,2020-02-16 20:10:10.217337
19:43:10,1,"Broomhill, Whitmore",39,2020-02-16 20:22:10.217379
19:43:10,U1,Queen's Avenue,53,2020-02-16 20:36:10.219081
19:43:10,2,"Stockwood, The Coot",57,2020-02-16 20:40:10.219129

19:43:42,3,"Broadmead, Union St",0,2020-02-16 19:43:42.570095
19:43:42,2,"Stockwood, The Coot",0,2020-02-16 19:43:42.570179
19:43:42,1,"Broomhill, Whitmore",9,2020-02-16 19:52:42.570228
19:43:42,U1,Queen's Avenue,23,2020-02-16 20:06:42.575495
19:43:42,4,"Broadmead, Union St",26,2020-02-16 20:09:42.575541
19:43:42,2,"Stockwood, The Coot",27,2020-02-16 20:10:42.575589
19:43:42,1,"Broomhill, Whitmore",39,2020-02-16 20:22:42.575628
19:43:42,U1,Queen's Avenue,53,2020-02-16 20:36:42.578535
19:43:42,2,"Stockwood, The Coot",57,2020-02-16 20:40:42.578574
19:43:42,3,"Broadmead, Union St",61,2020-02-16 20:44:42.578610

19:44:23,2,"Stockwood, The Coot",0,2020-02-16 19:44:23.104938
19:44:23,3,"Broadmead, Union St",0,2020-02-16 19:44:23.104998
19:44:23,1,"Broomhill, Whitmore",7,2020-02-16 19:51:23.105042
19:44:23,U1,Queen's Avenue,22,2020-02-16 20:06:23.106851
19:44:23,4,"Broadmead, Union St",25,2020-02-16 20:09:23.106888
19:44:23,2,"Stockwood, The Coot",26,2020-02-16 20:10:23.106923
19:44:23,1,"Broomhill, Whitmore",38,2020-02-16 20:22:23.106958
19:44:23,U1,Queen's Avenue,52,2020-02-16 20:36:23.108436
19:44:23,2,"Stockwood, The Coot",56,2020-02-16 20:40:23.108472
19:44:23,3,"Broadmead, Union St",60,2020-02-16 20:44:23.108507

19:44:32,2,"Stockwood, The Coot",0,2020-02-16 19:44:32.441589
19:44:32,3,"Broadmead, Union St",0,2020-02-16 19:44:32.441677
19:44:32,1,"Broomhill, Whitmore",7,2020-02-16 19:51:32.441731
19:44:32,U1,Queen's Avenue,22,2020-02-16 20:06:32.443690
19:44:32,4,"Broadmead, Union St",25,2020-02-16 20:09:32.443736
19:44:32,2,"Stockwood, The Coot",26,2020-02-16 20:10:32.443779
19:44:32,1,"Broomhill, Whitmore",38,2020-02-16 20:22:32.443821
19:44:32,U1,Queen's Avenue,52,2020-02-16 20:36:32.446341
19:44:32,2,"Stockwood, The Coot",56,2020-02-16 20:40:32.446393
19:44:32,3,"Broadmead, Union St",60,2020-02-16 20:44:32.446432

19:44:48,2,"Stockwood, The Coot",0,2020-02-16 19:44:48.395776
19:44:48,3,"Broadmead, Union St",0,2020-02-16 19:44:48.395841
19:44:48,1,"Broomhill, Whitmore",8,2020-02-16 19:52:48.395889
19:44:48,U1,Queen's Avenue,22,2020-02-16 20:06:48.397697
19:44:48,4,"Broadmead, Union St",25,2020-02-16 20:09:48.397743
19:44:48,2,"Stockwood, The Coot",26,2020-02-16 20:10:48.397787
19:44:48,1,"Broomhill, Whitmore",38,2020-02-16 20:22:48.397830
19:44:48,U1,Queen's Avenue,52,2020-02-16 20:36:48.399586
19:44:48,2,"Stockwood, The Coot",56,2020-02-16 20:40:48.399634
19:44:48,3,"Broadmead, Union St",60,2020-02-16 20:44:48.399678

19:45:11,2,"Stockwood, The Coot",0,2020-02-16 19:45:11.349592
19:45:11,3,"Broadmead, Union St",0,2020-02-16 19:45:11.349677
19:45:11,1,"Broomhill, Whitmore",7,2020-02-16 19:52:11.349738
19:45:11,U1,Queen's Avenue,21,2020-02-16 20:06:11.352221
19:45:11,4,"Broadmead, Union St",24,2020-02-16 20:09:11.352271
19:45:11,2,"Stockwood, The Coot",25,2020-02-16 20:10:11.352316
19:45:11,1,"Broomhill, Whitmore",37,2020-02-16 20:22:11.352358
19:45:11,U1,Queen's Avenue,51,2020-02-16 20:36:11.354164
19:45:11,2,"Stockwood, The Coot",55,2020-02-16 20:40:11.354209
19:45:11,3,"Broadmead, Union St",59,2020-02-16 20:44:11.354253

19:45:38,2,"Stockwood, The Coot",0,2020-02-16 19:45:38.061628
19:45:38,1,"Broomhill, Whitmore",7,2020-02-16 19:52:38.061725
19:45:38,U1,Queen's Avenue,21,2020-02-16 20:06:38.067375
19:45:38,4,"Broadmead, Union St",23,2020-02-16 20:08:38.067421
19:45:38,2,"Stockwood, The Coot",25,2020-02-16 20:10:38.067465
19:45:38,1,"Broomhill, Whitmore",37,2020-02-16 20:22:38.067508
19:45:38,U1,Queen's Avenue,51,2020-02-16 20:36:38.070446
19:45:38,2,"Stockwood, The Coot",55,2020-02-16 20:40:38.070497
19:45:38,3,"Broadmead, Union St",59,2020-02-16 20:44:38.070534
19:45:38,1,"Broomhill, Whitmore",65,2020-02-16 20:50:38.070571

19:46:24,1,"Broomhill, Whitmore",6,2020-02-16 19:52:24.445010
19:46:24,U1,Queen's Avenue,20,2020-02-16 20:06:24.446936
19:46:24,4,"Broadmead, Union St",23,2020-02-16 20:09:24.446984
19:46:24,2,"Stockwood, The Coot",25,2020-02-16 20:11:24.447026
19:46:24,1,"Broomhill, Whitmore",36,2020-02-16 20:22:24.447065
19:46:24,U1,Queen's Avenue,50,2020-02-16 20:36:24.448732
19:46:24,2,"Stockwood, The Coot",54,2020-02-16 20:40:24.448769
19:46:24,3,"Broadmead, Union St",58,2020-02-16 20:44:24.448805
